# AMReX Dai-Woodward ref, Nx=2048, t=0.2; source benchmarks/raw/report_inputs/dw_ref_2048.csv
x rho u By p
0.44751 1.23735 0.449805 1.50377 1.43716
0.449951 1.23728 0.449676 1.50365 1.43702
0.452393 1.23734 0.449771 1.50373 1.43713
0.454834 1.23751 0.450071 1.504 1.43745
0.457275 1.23751 0.450072 1.504 1.43746
0.460205 1.2373 0.449733 1.50368 1.43706
0.462646 1.23731 0.449674 1.5037 1.4371
0.465088 1.2377 0.449605 1.5043 1.43784
0.467529 1.22772 0.443829 1.4888 1.41848
0.469971 1.00211 0.00430583 1.13205 1.00359
0.472412 1 0 1.12838 1
0.474854 1 0 1.12838 1
0.477295 1 0 1.12838 1
0.480225 1 0 1.12838 1
0.482666 1 0 1.12838 1
0.485107 1 0 1.12838 1
0.487549 1 0 1.12838 1
0.48999 1 0 1.12838 1
0.492432 1 0 1.12838 1
0.494873 1 0 1.12838 1
0.497314 1 0 1.12838 1
